
# Curve 0 of 3, 168 points
# Curve title: "1st PC"
# x y type
 0 -0.9939  i
 1 -1.2269  i
 2 -1.4113  i
 3 -1.5986  i
 4 -1.8001  i
 5 -2.0101  i
 6 -2.1935  i
 7 -2.3781  i
 8 -2.5555  i
 9 -2.7097  i
 10 -2.879  i
 11 -3.0798  i
 12 -3.2849  i
 13 -3.4804  i
 14 -3.6443  i
 15 -3.782  i
 16 -3.9456  i
 17 -4.1016  i
 18 -4.2629  i
 19 -4.4601  i
 20 -4.6348  i
 21 -4.7795  i
 22 -4.891  i
 23 -5.0417  i
 24 -5.2374  i
 25 -5.3841  i
 26 -5.4822  i
 27 -5.5849  i
 28 -5.6904  i
 29 -5.8063  i
 30 -5.8953  i
 31 -5.968  i
 32 -6.0108  i
 33 -6.0626  i
 34 -6.1064  i
 35 -6.1608  i
 36 -6.2213  i
 37 -6.2704  i
 38 -6.3141  i
 39 -6.3514  i
 40 -6.3549  i
 41 -6.3407  i
 42 -6.3439  i
 43 -6.3541  i
 44 -6.3537  i
 45 -6.3165  i
 46 -6.2671  i
 47 -6.2525  i
 48 -6.2565  i
 49 -6.2056  i
 50 -6.095  i
 51 -5.9954  i
 52 -5.9118  i
 53 -5.8188  i
 54 -5.701  i
 55 -5.5912  i
 56 -5.4525  i
 57 -5.3244  i
 58 -5.1903  i
 59 -5.0464  i
 60 -4.8978  i
 61 -4.7515  i
 62 -4.5871  i
 63 -4.4147  i
 64 -4.2348  i
 65 -4.0556  i
 66 -3.8542  i
 67 -3.67  i
 68 -3.4865  i
 69 -3.3004  i
 70 -3.0801  i
 71 -2.891  i
 72 -2.7324  i
 73 -2.5158  i
 74 -2.262  i
 75 -2.033  i
 76 -1.8155  i
 77 -1.592  i
 78 -1.3417  i
 79 -1.0745  i
 80 -0.8147  i
 81 -0.5819  i
 82 -0.3399  i
 83 -0.1127  i
 84  0.1127  i
 85  0.3399  i
 86  0.5819  i
 87  0.8147  i
 88  1.0745  i
 89  1.3417  i
 90  1.592  i
 91  1.8155  i
 92  2.033  i
 93  2.262  i
 94  2.5158  i
 95  2.7324  i
 96  2.891  i
 97  3.0801  i
 98  3.3004  i
 99  3.4865  i
 100  3.67  i
 101  3.8542  i
 102  4.0556  i
 103  4.2348  i
 104  4.4147  i
 105  4.5871  i
 106  4.7515  i
 107  4.8978  i
 108  5.0464  i
 109  5.1903  i
 110  5.3244  i
 111  5.4525  i
 112  5.5912  i
 113  5.701  i
 114  5.8188  i
 115  5.9118  i
 116  5.9954  i
 117  6.095  i
 118  6.2056  i
 119  6.2565  i
 120  6.2525  i
 121  6.2671  i
 122  6.3165  i
 123  6.3537  i
 124  6.3541  i
 125  6.3439  i
 126  6.3407  i
 127  6.3549  i
 128  6.3514  i
 129  6.3141  i
 130  6.2704  i
 131  6.2213  i
 132  6.1608  i
 133  6.1064  i
 134  6.0626  i
 135  6.0108  i
 136  5.968  i
 137  5.8953  i
 138  5.8063  i
 139  5.6904  i
 140  5.5849  i
 141  5.4822  i
 142  5.3841  i
 143  5.2374  i
 144  5.0417  i
 145  4.891  i
 146  4.7795  i
 147  4.6348  i
 148  4.4601  i
 149  4.2629  i
 150  4.1016  i
 151  3.9456  i
 152  3.782  i
 153  3.6443  i
 154  3.4804  i
 155  3.2849  i
 156  3.0798  i
 157  2.879  i
 158  2.7097  i
 159  2.5555  i
 160  2.3781  i
 161  2.1935  i
 162  2.0101  i
 163  1.8001  i
 164  1.5986  i
 165  1.4113  i
 166  1.2269  i
 167  0.9939  i


# Curve 1 of 3, 168 points
# Curve title: "2nd PC"
# x y type
 0  3.1572  i
 1  3.7261  i
 2  4.2627  i
 3  4.83  i
 4  5.4892  i
 5  6.0263  i
 6  6.4192  i
 7  6.8088  i
 8  7.0149  i
 9  7.1118  i
 10  7.1324  i
 11  6.8098  i
 12  6.3831  i
 13  5.878  i
 14  5.105  i
 15  4.3326  i
 16  3.7051  i
 17  3.062  i
 18  2.513  i
 19  1.9285  i
 20  1.364  i
 21  1.0868  i
 22  0.9443  i
 23  0.9359  i
 24  1.152  i
 25  1.5347  i
 26  1.9407  i
 27  2.4477  i
 28  3.0896  i
 29  3.6221  i
 30  4.0434  i
 31  4.3599  i
 32  4.6017  i
 33  4.7102  i
 34  4.6666  i
 35  4.4337  i
 36  4.0598  i
 37  3.4285  i
 38  2.6576  i
 39  1.8015  i
 40  0.9059  i
 41  0.0388  i
 42 -0.7258  i
 43 -1.5808  i
 44 -2.3758  i
 45 -2.9312  i
 46 -3.3122  i
 47 -3.6086  i
 48 -3.6122  i
 49 -3.4438  i
 50 -3.2312  i
 51 -2.8511  i
 52 -2.2887  i
 53 -1.747  i
 54 -1.3231  i
 55 -0.9796  i
 56 -0.6902  i
 57 -0.4954  i
 58 -0.4241  i
 59 -0.5202  i
 60 -0.8345  i
 61 -1.3432  i
 62 -1.9862  i
 63 -2.688  i
 64 -3.4953  i
 65 -4.2663  i
 66 -5.0943  i
 67 -5.981  i
 68 -6.7663  i
 69 -7.2914  i
 70 -7.6993  i
 71 -8.0212  i
 72 -8.0632  i
 73 -7.8973  i
 74 -7.661  i
 75 -7.2312  i
 76 -6.5762  i
 77 -5.9229  i
 78 -5.353  i
 79 -4.732  i
 80 -4.1998  i
 81 -3.7238  i
 82 -3.3787  i
 83 -3.1736  i
 84 -3.1736  i
 85 -3.3787  i
 86 -3.7238  i
 87 -4.1998  i
 88 -4.732  i
 89 -5.353  i
 90 -5.9229  i
 91 -6.5762  i
 92 -7.2312  i
 93 -7.661  i
 94 -7.8973  i
 95 -8.0632  i
 96 -8.0212  i
 97 -7.6993  i
 98 -7.2914  i
 99 -6.7663  i
 100 -5.981  i
 101 -5.0943  i
 102 -4.2663  i
 103 -3.4953  i
 104 -2.688  i
 105 -1.9862  i
 106 -1.3432  i
 107 -0.8345  i
 108 -0.5202  i
 109 -0.4241  i
 110 -0.4954  i
 111 -0.6902  i
 112 -0.9796  i
 113 -1.3231  i
 114 -1.747  i
 115 -2.2887  i
 116 -2.8511  i
 117 -3.2312  i
 118 -3.4438  i
 119 -3.6122  i
 120 -3.6086  i
 121 -3.3122  i
 122 -2.9312  i
 123 -2.3758  i
 124 -1.5808  i
 125 -0.7258  i
 126  0.0388  i
 127  0.9059  i
 128  1.8015  i
 129  2.6576  i
 130  3.4285  i
 131  4.0598  i
 132  4.4337  i
 133  4.6666  i
 134  4.7102  i
 135  4.6017  i
 136  4.3599  i
 137  4.0434  i
 138  3.6221  i
 139  3.0896  i
 140  2.4477  i
 141  1.9407  i
 142  1.5347  i
 143  1.152  i
 144  0.9359  i
 145  0.9443  i
 146  1.0868  i
 147  1.364  i
 148  1.9285  i
 149  2.513  i
 150  3.062  i
 151  3.7051  i
 152  4.3326  i
 153  5.105  i
 154  5.878  i
 155  6.3831  i
 156  6.8098  i
 157  7.1324  i
 158  7.1118  i
 159  7.0149  i
 160  6.8088  i
 161  6.4192  i
 162  6.0263  i
 163  5.4892  i
 164  4.83  i
 165  4.2627  i
 166  3.7261  i
 167  3.1572  i


# Curve 2 of 3, 168 points
# Curve title: "3rd PC"
# x y type
 0 -4.0757  i
 1 -5.0183  i
